City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Upernavik,GL,2022-10-09 12:06:14,72.7868,-56.1549,16.48,87,91,5.79
96,Namibe,AO,2022-10-09 12:06:15,-15.1961,12.1522,76.44,69,11,13.44
97,Cherskiy,RU,2022-10-09 12:06:15,68.75,161.3,22.73,89,100,20.13
98,Saint George,US,2022-10-09 12:06:15,37.1041,-113.5841,65.95,41,0,8.05
99,Abha,SA,2022-10-09 12:04:44,18.2164,42.5053,77.25,12,40,5.75
100,Port Hardy,CA,2022-10-09 12:06:16,50.6996,-127.4199,54.45,91,97,4.72
101,Sitio Novo Do Tocantins,BR,2022-10-09 12:06:16,-5.5183,-47.4611,90.37,44,4,4.81
102,Kurkino,RU,2022-10-09 12:06:16,53.4257,38.6582,58.91,58,35,12.37
103,Akdepe,TM,2022-10-09 12:06:17,42.0551,59.3788,70.63,20,0,15.86
104,Soyo,AO,2022-10-09 12:06:17,-6.1349,12.3689,79.56,76,93,8.95
105,Huilong,CN,2022-10-09 12:06:17,31.8111,121.655,61.93,54,98,21.94
106,Teya,RU,2022-10-09 12:06:18,60.3778,92.6267,38.16,94,36,1.16
107,Serenje,ZM,2022-10-09 12:06:18,-13.2325,30.2352,84.51,16,1,12.59
108,Thompson,CA,2022-10-09 12:06:18,55.7435,-97.8558,33.75,63,56,4.05
109,Coquimbo,CL,2022-10-09 12:06:19,-29.9533,-71.3436,51.53,100,100,3.44
110,Sao Joao Da Barra,BR,2022-10-09 12:06:19,-21.6403,-41.0511,77.09,82,100,10.38
111,Sorsk,RU,2022-10-09 12:06:19,54.0033,90.2467,40.78,63,100,6.08
112,San Cristobal,VE,2022-10-09 12:06:20,7.7669,-72.225,66.38,79,95,0.81
113,Yamethin,MM,2022-10-09 12:06:20,20.4333,96.15,79.79,82,73,3.87
114,Salalah,OM,2022-10-09 12:06:20,17.0151,54.0924,82.49,69,20,10.36
115,Kuytun,RU,2022-10-09 12:06:21,54.3419,101.5036,35.91,61,45,5.08
116,Longyearbyen,SJ,2022-10-09 12:03:01,78.2186,15.6401,39.04,75,75,10.36
117,Ilulissat,GL,2022-10-09 12:06:21,69.2167,-51.1,28.42,59,75,4.61
118,Airai,TL,2022-10-09 12:06:21,-8.9266,125.4092,63.14,91,70,2.98
119,Margate,GB,2022-10-09 12:06:22,51.3813,1.3862,62.69,58,41,1.99
120,Chokurdakh,RU,2022-10-09 12:06:22,70.6333,147.9167,21.36,91,100,14.63
121,Biltine,TD,2022-10-09 12:06:22,14.5333,20.9167,97.32,15,42,8.52
122,Provideniya,RU,2022-10-09 12:06:23,64.3833,-173.3,31.28,65,93,15.68
123,Szekkutas,HU,2022-10-09 12:06:23,46.5,20.5333,69.01,46,60,7.11
124,Hunterville,NZ,2022-10-09 12:06:23,-39.9333,175.5667,44.55,97,6,4.68
125,Socorro,US,2022-10-09 12:06:24,31.6546,-106.3033,60.37,89,75,5.75
126,Gravdal,NO,2022-10-09 12:06:24,68.1214,13.5031,46.29,66,75,9.22
127,Gorontalo,ID,2022-10-09 12:06:24,0.5412,123.0595,76.66,95,100,2.89
128,Baloda Bazar,IN,2022-10-09 12:06:25,21.6667,82.1667,80.51,81,46,6.02
129,Qaanaaq,GL,2022-10-09 12:06:25,77.484,-69.3632,9.64,69,98,11.68
130,Cajati,BR,2022-10-09 12:06:25,-24.7361,-48.1228,78.19,53,3,0.2
131,San Nicolas,PH,2022-10-09 12:06:26,18.1725,120.5953,80.38,75,79,11.12
132,La Palma,US,2022-10-09 12:06:26,33.8464,-118.0467,69.78,88,100,1.99
133,Sao Filipe,CV,2022-10-09 12:06:26,14.8961,-24.4956,78.06,76,38,6.64
134,Novouzensk,RU,2022-10-09 12:06:27,50.4592,48.1431,66.45,33,5,10.42
135,East London,ZA,2022-10-09 12:06:27,-33.0153,27.9116,72.45,66,11,16.89
136,Kulhudhuffushi,MV,2022-10-09 12:06:27,6.6221,73.07,80.42,81,19,15.12
137,Lagoa,PT,2022-10-09 12:06:28,39.05,-27.9833,70.41,93,15,15.1
138,Leningradskiy,RU,2022-10-09 12:07:28,69.3833,178.4167,16.27,73,41,15.14
139,Kapaa,US,2022-10-09 12:07:28,22.0752,-159.319,73.38,83,0,9.22
140,Careiro Da Varzea,BR,2022-10-09 12:07:29,-3.2003,-59.8119,86.63,43,83,4.36
141,Xinyu,CN,2022-10-09 12:07:29,27.8043,114.9334,61.68,74,98,1.9
142,Westport,US,2022-10-09 12:07:22,41.1415,-73.3579,47.75,75,0,5.99
143,Jaen,ES,2022-10-09 12:07:29,38.0,-3.5,79.02,40,33,4.54
144,Walvis Bay,NA,2022-10-09 12:07:29,-22.9575,14.5053,66.09,66,55,13.6
145,Torbay,CA,2022-10-09 12:03:19,47.6666,-52.7314,59.58,90,65,4.0
146,Pemangkat,ID,2022-10-09 12:07:30,1.1667,108.9667,77.25,86,100,11.1
147,Sinnamary,GF,2022-10-09 12:07:30,5.3833,-52.95,81.3,82,49,9.46
148,Hithadhoo,MV,2022-10-09 12:07:31,-0.6,73.0833,81.52,75,82,13.47
149,Tazovskiy,RU,2022-10-09 12:07:31,67.4667,78.7,39.06,94,100,7.81
150,Plouzane,FR,2022-10-09 12:07:31,48.3833,-4.6167,64.58,59,0,16.11
151,Adwa,ET,2022-10-09 12:07:32,14.1646,38.8955,79.48,23,25,8.84
152,Maldonado,UY,2022-10-09 12:03:27,-34.6667,-54.9167,51.22,53,38,17.29
153,Bintulu,MY,2022-10-09 12:07:32,3.1667,113.0333,76.14,91,100,7.99
154,Santa Catarina De Tepehuanes,MX,2022-10-09 12:07:32,25.35,-105.7333,51.51,88,2,0.85
155,Port Shepstone,ZA,2022-10-09 12:07:33,-30.7414,30.455,74.48,78,3,23.71
156,Envira,BR,2022-10-09 12:07:33,-7.3,-70.2167,77.5,74,72,3.09
157,Mwene-Ditu,CD,2022-10-09 12:07:33,-7.0,23.45,88.97,29,79,5.88
158,Khilok,RU,2022-10-09 12:07:33,51.3674,110.4676,30.6,54,61,3.58
159,Adrar,MR,2022-10-09 12:07:34,20.5022,-10.0711,95.31,21,70,8.52
160,Safranbolu,TR,2022-10-09 12:07:34,41.2508,32.6942,57.06,94,98,3.47
161,Ati,TD,2022-10-09 12:07:34,13.2154,18.3353,98.38,22,55,11.72
162,Carnarvon,AU,2022-10-09 12:07:35,-24.8667,113.6333,67.96,70,15,21.72
163,Pangnirtung,CA,2022-10-09 12:07:35,66.1451,-65.7125,23.58,65,83,5.37
164,Great Yarmouth,GB,2022-10-09 12:07:35,52.6083,1.7305,63.45,54,10,18.63
165,Fairbanks,US,2022-10-09 12:06:58,64.8378,-147.7164,42.8,93,75,5.75
166,Faya,SA,2022-10-09 12:07:36,18.3851,42.4509,77.52,18,18,5.93
167,Tomari,RU,2022-10-09 12:07:36,47.7658,142.0683,48.94,84,100,9.44
168,Mogadishu,SO,2022-10-09 12:07:36,2.0371,45.3438,80.82,72,42,15.82
169,Caxito,AO,2022-10-09 12:07:36,-8.5785,13.6643,90.72,47,88,7.0
170,Deputatskiy,RU,2022-10-09 12:07:37,69.3,139.9,13.87,90,100,7.58
171,Chipinge,ZW,2022-10-09 12:07:37,-20.1883,32.6236,89.02,16,0,12.15
172,Aden,YE,2022-10-09 12:06:36,12.7794,45.0367,86.99,66,3,13.53
173,Jablanica,BA,2022-10-09 12:07:38,43.6603,17.7617,76.33,52,100,4.88
174,Souillac,MU,2022-10-09 12:07:38,-20.5167,57.5167,73.2,60,28,13.47
175,Plyussa,RU,2022-10-09 12:07:38,58.4308,29.3654,55.36,48,39,8.34
